,name,frequency,modeling_realm,standard_name,units,cell_methods,cell_measures,long_name,comment,processing_note,dimensions,out_name,type,positive,spatial_shape,temporal_shape,cmip6_table,physical_parameter_name,variableRootDD,branding_label,branded_variable_name,region,cmip6_compound_name,cmip7_compound_name,uid,priority,flag_values,flag_meanings
309,seaIce.siitdsnconc.tavg-u-hxy-si.day.glb,day,seaIce,surface_snow_area_fraction,%,area: time: mean where sea_ice (mask=siitdconc),area: areacello,Snow Area Percentages in Ice Thickness Categories,"Percentage of grid cell covered by snow in each ice thickness category (vector with one entry for each ice thickness category starting from the thinnest category, netcdf file should use thickness bounds of the categories as third coordinate axis).",,longitude latitude iceband time,siitdsnconc,real,,XY-na,time-intv,SIday,siitdsnconc,siitdsnconc,tavg-u-hxy-si,siitdsnconc_tavg-u-hxy-si,glb,SIday.siitdsnconc,seaIce.siitdsnconc.tavg-u-hxy-si.day.glb,83bbfb36-7f07-11ef-9308-b1dd71e64bec,medium,,
310,seaIce.siitdsnthick.tavg-u-hxy-si.day.glb,day,seaIce,surface_snow_thickness,m,area: time: mean where sea_ice (mask=siitdconc),area: areacello,Snow Thickness in Ice Thickness Categories,"Actual thickness of snow in each ice thickness category, NOT snow volume divided by grid area (vector with one entry for each ice thickness category starting from the thinnest category, netcdf file should use thickness bounds of categories as third coordinate axis). It can also be derived by dividing the volume of snow by the area of snow in each thickness category.","Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",longitude latitude iceband time,siitdsnthick,real,,XY-na,time-intv,SIday,siitdsnthick,siitdsnthick,tavg-u-hxy-si,siitdsnthick_tavg-u-hxy-si,glb,SIday.siitdsnthick,seaIce.siitdsnthick.tavg-u-hxy-si.day.glb,83bbfb35-7f07-11ef-9308-b1dd71e64bec,medium,,
316,seaIce.sisnhc.tavg-u-hxy-si.day.glb,day,seaIce,thermal_energy_content_of_surface_snow,J m-2,area: time: mean where sea_ice (mask=siconc),area: areacello,Snow Heat Content,Heat content of all snow in grid cell divided by grid-cell area. This includes both the latent and sensible heat content contributions. Snow-water equivalent at 0 C is assumed to have a heat content of 0 J. Does not include the heat content of sea ice.,,longitude latitude time,sisnhc,real,,XY-na,time-intv,SIday,sisnhc,sisnhc,tavg-u-hxy-si,sisnhc_tavg-u-hxy-si,glb,SIday.sisnhc,seaIce.sisnhc.tavg-u-hxy-si.day.glb,83bbfb2a-7f07-11ef-9308-b1dd71e64bec,high,,
318,seaIce.sitempsnic.tavg-u-hxy-si.day.glb,day,seaIce,sea_ice_surface_temperature,K,area: time: mean where sea_ice (mask=siconc),area: areacello,Temperature at Snow-Ice Interface,Mean temperature at the snow-ice interface. This is the surface temperature of ice where snow thickness is zero.,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",longitude latitude time,sitempsnic,real,,XY-na,time-intv,SIday,sitempsnic,sitempsnic,tavg-u-hxy-si,sitempsnic_tavg-u-hxy-si,glb,SIday.sitempsnic,seaIce.sitempsnic.tavg-u-hxy-si.day.glb,83bbfb28-7f07-11ef-9308-b1dd71e64bec,medium,,
