,name,frequency,modeling_realm,standard_name,units,cell_methods,cell_measures,long_name,comment,processing_note,dimensions,out_name,type,positive,spatial_shape,temporal_shape,cmip6_table,physical_parameter_name,variableRootDD,branding_label,branded_variable_name,region,cmip6_compound_name,cmip7_compound_name,uid,flag_values,flag_meanings
0,atmos.areacella.ti-u-hxy-u.fx.glb,fx,atmos land,cell_area,m2,area: sum,,Grid-Cell Area for Atmospheric Grid Variables,"Cell areas for any grid used to report atmospheric variables and any other variable using that grid (e.g., soil moisture content). These cell areas should be defined to enable exact calculation of global integrals (e.g., of vertical fluxes of energy at the surface and top of the atmosphere).","For atmospheres with more than 1 mesh (e.g., staggered grids), report areas that apply to surface vertical fluxes of energy.",longitude latitude,areacella,real,,XY-na,None,fx,areacella,areacella,ti-u-hxy-u,areacella_ti-u-hxy-u,glb,fx.areacella,atmos.areacella.ti-u-hxy-u.fx.glb,baa83a12-e5dd-11e5-8482-ac72891c3257,,
8,atmos.evspsbl.tavg-u-hxy-u.mon.glb,mon,atmos land,water_evapotranspiration_flux,kg m-2 s-1,area: time: mean,area: areacella,Evaporation Including Sublimation and Transpiration,at surface; flux of water into the atmosphere due to conversion of both liquid and solid phases to vapor (from underlying surface and vegetation),,longitude latitude time,evspsbl,real,,XY-na,time-intv,Amon,evspsbl,evspsbl,tavg-u-hxy-u,evspsbl_tavg-u-hxy-u,glb,Amon.evspsbl,atmos.evspsbl.tavg-u-hxy-u.mon.glb,baad45c0-e5dd-11e5-8482-ac72891c3257,,
