,name,frequency,modeling_realm,standard_name,units,cell_methods,cell_measures,long_name,comment,processing_note,dimensions,out_name,type,positive,spatial_shape,temporal_shape,cmip6_table,physical_parameter_name,variableRootDD,branding_label,branded_variable_name,region,cmip6_compound_name,cmip7_compound_name,uid,flag_values,flag_meanings
90,landIce.mrfso.tavg-u-hxy-lnd.mon.glb,mon,landIce land,soil_frozen_water_content,kg m-2,area: mean where land time: mean,area: areacella,Soil Frozen Water Content,the mass (summed over all all layers) of frozen water.,,longitude latitude time,mrfso,real,,XY-na,time-intv,Lmon,mrfso,mrfso,tavg-u-hxy-lnd,mrfso_tavg-u-hxy-lnd,glb,Lmon.mrfso,landIce.mrfso.tavg-u-hxy-lnd.mon.glb,bab1688a-e5dd-11e5-8482-ac72891c3257,,
91,landIce.snc.tavg-u-hxy-lnd.mon.glb,mon,landIce land,surface_snow_area_fraction,%,area: mean where land time: mean,area: areacella,Snow Area Percentage,Fraction of each grid cell that is occupied by snow that rests on land portion of cell.,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean CMIP7:area: mean where land time: mean,",longitude latitude time,snc,real,,XY-na,time-intv,LImon,snc,snc,tavg-u-hxy-lnd,snc_tavg-u-hxy-lnd,glb,LImon.snc,landIce.snc.tavg-u-hxy-lnd.mon.glb,bab7c2d4-e5dd-11e5-8482-ac72891c3257,,
92,landIce.snw.tavg-u-hxy-lnd.mon.glb,mon,landIce land,surface_snow_amount,kg m-2,area: mean where land time: mean,area: areacella,Surface Snow Amount,Computed as the mass of surface snow on the land portion of the grid cell divided by the land area in the grid cell; reported as missing where the land fraction is 0; excluded is snow on vegetation canopy or on sea ice.,,longitude latitude time,snw,real,,XY-na,time-intv,LImon,snw,snw,tavg-u-hxy-lnd,snw_tavg-u-hxy-lnd,glb,LImon.snw,landIce.snw.tavg-u-hxy-lnd.mon.glb,bab81e50-e5dd-11e5-8482-ac72891c3257,,
