,name,frequency,modeling_realm,standard_name,units,cell_methods,cell_measures,long_name,comment,processing_note,dimensions,out_name,type,positive,spatial_shape,temporal_shape,cmip6_table,physical_parameter_name,variableRootDD,branding_label,branded_variable_name,region,cmip6_compound_name,cmip7_compound_name,uid,priority,flag_values,flag_meanings
75,atmos.co2.tavg-al-hxy-u.mon.glb,mon,atmos aerosol,mole_fraction_of_carbon_dioxide_in_air,mol mol-1,area: time: mean,area: areacella,Mole Fraction of CO2,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.",,longitude latitude alevel time,co2,real,,XY-A,time-intv,AERmon,co2,co2,tavg-al-hxy-u,co2_tavg-al-hxy-u,glb,AERmon.co2,atmos.co2.tavg-al-hxy-u.mon.glb,19beb80e-81b1-11e6-92de-ac72891c3257,high,,
76,atmos.co2.tavg-p19-hxy-air.mon.glb,mon,atmos aerosol,mole_fraction_of_carbon_dioxide_in_air,mol mol-1,area: time: mean where air,area: areacella,Mole Fraction of CO2,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.","For some simulations (e.g., prescribed concentration pi-control run), this will not vary from one year to the next, and so report instead the variable described in the next table entry.  If spatially uniform, omit this field, but report Total Atmospheric Mass of CO2 (see the table entry after the next one).  Are these the preferred units or should it be a unitless fraction?  Should this field be reported instead on model levels?  Or should we also require either the vertically integrated mole fraction (or mass?) of this species or the vertically integrated globally averaged mole fraction (or mass?)? CHANGE SINCE CMIP6 in Cell Methods - CMIP6:time: mean CMIP7:area: time: mean where air,",longitude latitude plev19 time,co2,real,,XY-P19,time-intv,Amon,co2,co2,tavg-p19-hxy-air,co2_tavg-p19-hxy-air,glb,Amon.co2,atmos.co2.tavg-p19-hxy-air.mon.glb,baab23da-e5dd-11e5-8482-ac72891c3257,high,,
77,atmos.co2.tclm-p19-hxy-air.mon.glb,mon,atmos aerosol,mole_fraction_of_carbon_dioxide_in_air,mol mol-1,area: mean where air time: mean within years time: mean over years,area: areacella,Mole Fraction of CO2,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.","Report only for simulations (e.g., prescribed concentration pi-control run), in which the CO2 does not vary from one year to the next. Report 12 monthly values, starting with January, even if the values do not vary seasonally.  When calling CMOR, identify this variable as co2Clim, not co2.   If  CO2 is spatially uniform, omit this field, but report Total Atmospheric Mass of CO2 (see the table entry after the next).  Are these the preferred units or should it be a unitless fraction?  Should this field be reported instead on model levels?  Or should we also require either the vertically integrated mole fraction (or mass?) of this species or the vertically integrated globally averaged mole fraction (or mass?)? CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean time: mean within years time: mean over years CMIP7:area: mean where air time: mean within years time: mean over years,",longitude latitude plev19 time2,co2,real,,XY-P19,climatology,Amon,co2,co2,tclm-p19-hxy-air,co2_tclm-p19-hxy-air,glb,Amon.co2Clim,atmos.co2.tclm-p19-hxy-air.mon.glb,a92dfd68-817c-11e6-a4e2-5404a60d96b5,high,,
78,atmos.co2.tclm-u-hm-u.mon.glb,mon,atmos aerosol,mole_fraction_of_carbon_dioxide_in_air,mol mol-1,height: sum (through atmospheric column) area: sum time: mean within years time: mean over years,,Total Atmospheric Mass of CO2,Total atmospheric mass of Carbon Dioxide,"Report only for simulations (e.g., prescribed concentration pi-control run), in which the CO2 does not vary from one year to the next. Report 12 monthly values, starting with January, even if the values do not vary seasonally.  When calling CMOR, identify this variable as co2massClim, not co2mass.  If CO2 is spatially nonuniform, omit this field, but report Mole Fraction of CO2 (see the table entry before the previous one).
CHANGE SINCE CMIP6: compound name,
CHANGE SINCE CMIP6 in Units (from Physical Parameter) - CMIP6:kg CMIP7:mol mol-1, CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean time: mean within years time: mean over years CMIP7:height: sum (through atmospheric column) area: sum time: mean within years time: mean over years,",time2,co2,real,,na-na,climatology,Amon,co2,co2,tclm-u-hm-u,co2_tclm-u-hm-u,glb,Amon.co2massClim,atmos.co2.tclm-u-hm-u.mon.glb,a92e1244-817c-11e6-a4e2-5404a60d96b5,high,,
