,name,frequency,modeling_realm,standard_name,units,cell_methods,cell_measures,long_name,comment,processing_note,dimensions,out_name,type,positive,spatial_shape,temporal_shape,cmip6_table,physical_parameter_name,variableRootDD,branding_label,branded_variable_name,region,cmip6_compound_name,cmip7_compound_name,uid,priority,flag_values,flag_meanings
145,atmos.reffcclwtop.tavg-u-hxy-ccl.day.glb,day,atmos atmosChem aerosol,effective_radius_of_convective_cloud_liquid_water_particles_at_convective_liquid_water_cloud_top,m,area: time: mean where convective_cloud (weighted by area of upper-most convective liquid water cloud layer),area: areacella,Cloud-Top Effective Droplet Radius in Convective Cloud,"Droplets are liquid only.  This is the effective radius ""as seen from space"" over convective liquid cloudy portion of grid cell.  This is the value from uppermost model layer with liquid cloud or, if available, or for some models it is the sum over all liquid cloud tops, no matter where they occur, as long as they are seen from the top of the atmosphere. Reported values are weighted by total liquid cloud top fraction of  (as seen from TOA) each time sample when computing monthly mean.daily data, separated to large-scale clouds, convective clouds. If any of the cloud is from more than one process (i.e. shallow convection), please provide them separately.","CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean CMIP7:area: time: mean where convective_cloud (weighted by area of upper-most convective liquid water cloud layer),",longitude latitude time,reffcclwtop,real,,XY-na,time-intv,Eday,reffcclwtop,reffcclwtop,tavg-u-hxy-ccl,reffcclwtop_tavg-u-hxy-ccl,glb,Eday.reffcclwtop,atmos.reffcclwtop.tavg-u-hxy-ccl.day.glb,8b8b322e-4a5b-11e6-9cd2-ac72891c3257,low,,
150,atmos.reffsclwtop.tavg-u-hxy-scl.day.glb,day,atmos atmosChem aerosol,effective_radius_of_stratiform_cloud_liquid_water_particles_at_stratiform_liquid_water_cloud_top,m,area: time: mean where stratiform_cloud (weighted by area of upper-most stratiform liquid water layer),area: areacella,Cloud-Top Effective Droplet Radius in Stratiform Cloud,"Droplets are liquid only.  This is the effective radius ""as seen from space"" over liquid stratiform cloudy portion of grid cell.  This is the value from uppermost model layer with liquid cloud or, if available, or for some models it is the sum over all liquid cloud tops, no matter where they occur, as long as they are seen from the top of the atmosphere. Reported values are weighted by total liquid cloud top fraction of  (as seen from TOA) each time sample when computing monthly mean.daily data, separated to large-scale clouds, convective clouds. If any of the cloud is from more than one process (i.e. shallow convection), please provide them separately.","CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean CMIP7:area: time: mean where stratiform_cloud (weighted by area of upper-most stratiform liquid water layer),",longitude latitude time,reffsclwtop,real,,XY-na,time-intv,Eday,reffsclwtop,reffsclwtop,tavg-u-hxy-scl,reffsclwtop_tavg-u-hxy-scl,glb,Eday.reffsclwtop,atmos.reffsclwtop.tavg-u-hxy-scl.day.glb,8b8b2a5e-4a5b-11e6-9cd2-ac72891c3257,low,,
192,atmos.scldncl.tavg-u-hxy-scl.day.glb,day,atmos atmosChem aerosol,number_concentration_of_stratiform_cloud_liquid_water_particles_at_stratiform_liquid_water_cloud_top,m-3,area: time: mean where stratiform_cloud,area: areacella,Cloud Droplet Number Concentration of Stratiform Cloud Tops,"Droplets are liquid only.  Report concentration ""as seen from space"" over stratiform liquid cloudy portion of grid cell.  This is the value from uppermost model layer with liquid cloud or, if available, it is better to sum over all liquid cloud tops, no matter where they occur, as long as they are seen from the top of the atmosphere. Weight by total liquid cloud top fraction of  (as seen from TOA) each time sample when computing monthly mean.","CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean CMIP7:area: time: mean where stratiform_cloud,",longitude latitude time,scldncl,real,,XY-na,time-intv,Eday,scldncl,scldncl,tavg-u-hxy-scl,scldncl_tavg-u-hxy-scl,glb,Eday.scldncl,atmos.scldncl.tavg-u-hxy-scl.day.glb,8b8b3896-4a5b-11e6-9cd2-ac72891c3257,low,,
