,name,frequency,modeling_realm,standard_name,units,cell_methods,cell_measures,long_name,comment,processing_note,dimensions,out_name,type,positive,spatial_shape,temporal_shape,cmip6_table,physical_parameter_name,variableRootDD,branding_label,branded_variable_name,region,cmip6_compound_name,cmip7_compound_name,uid,priority,flag_values,flag_meanings
273,atmosChem.ch4.tavg-al-hxy-u.mon.glb,mon,atmosChem aerosol,mole_fraction_of_methane_in_air,mol mol-1,area: time: mean,area: areacella,Mole Fraction of CH4,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.",,longitude latitude alevel time,ch4,real,,XY-A,time-intv,AERmon,ch4,ch4,tavg-al-hxy-u,ch4_tavg-al-hxy-u,glb,AERmon.ch4,atmosChem.ch4.tavg-al-hxy-u.mon.glb,19bfc492-81b1-11e6-92de-ac72891c3257,high,,
278,atmosChem.dms.tavg-al-hxy-u.mon.glb,mon,atmosChem aerosol,mole_fraction_of_dimethyl_sulfide_in_air,mol mol-1,area: time: mean,area: areacella,Dimethyl Sulphide (DMS) Mole Fraction,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.",,longitude latitude alevel time,dms,real,,XY-A,time-intv,AERmon,dms,dms,tavg-al-hxy-u,dms_tavg-al-hxy-u,glb,AERmon.dms,atmosChem.dms.tavg-al-hxy-u.mon.glb,19bfc1d6-81b1-11e6-92de-ac72891c3257,high,,
279,atmosChem.drynoy.tavg-u-hxy-u.mon.glb,mon,atmosChem aerosol,minus_tendency_of_atmosphere_mass_content_of_noy_expressed_as_nitrogen_due_to_dry_deposition,kg m-2 s-1,area: time: mean,area: areacella,Dry Deposition Rate of NOy,Dry Deposition Rate of NOy,,longitude latitude time,drynoy,real,,XY-na,time-intv,AERmon,drynoy,drynoy,tavg-u-hxy-u,drynoy_tavg-u-hxy-u,glb,AERmon.drynoy,atmosChem.drynoy.tavg-u-hxy-u.mon.glb,19bfdaae-81b1-11e6-92de-ac72891c3257,high,,
289,atmosChem.wetnoy.tavg-u-hxy-u.mon.glb,mon,atmosChem aerosol,minus_tendency_of_atmosphere_mass_content_of_noy_expressed_as_nitrogen_due_to_wet_deposition,kg m-2 s-1,area: time: mean,area: areacella,Wet Deposition Rate of NOy Including Aerosol Nitrate,"NOy is the sum of all simulated oxidized nitrogen species, out of NO, NO2, HNO3, HNO4, NO3aerosol, NO3(radical), N2O5, PAN, other organic nitrates.",,longitude latitude time,wetnoy,real,,XY-na,time-intv,AERmon,wetnoy,wetnoy,tavg-u-hxy-u,wetnoy_tavg-u-hxy-u,glb,AERmon.wetnoy,atmosChem.wetnoy.tavg-u-hxy-u.mon.glb,19beaf58-81b1-11e6-92de-ac72891c3257,high,,
