,name,frequency,modeling_realm,standard_name,units,cell_methods,cell_measures,long_name,comment,processing_note,dimensions,out_name,type,positive,spatial_shape,temporal_shape,cmip6_table,physical_parameter_name,variableRootDD,branding_label,branded_variable_name,region,cmip6_compound_name,cmip7_compound_name,uid,priority,flag_values,flag_meanings
24,aerosol.od550bc.tavg-u-hxy-u.mon.glb,mon,aerosol,atmosphere_optical_thickness_due_to_black_carbon_ambient_aerosol,1,area: time: mean,area: areacella,Black Carbon Optical Thickness at 550nm,Total aerosol AOD due to black carbon aerosol at a wavelength of 550 nanometres.,,longitude latitude time lambda550nm,od550bc,real,,XY-na,time-intv,AERmon,od550bc,od550bc,tavg-u-hxy-u,od550bc_tavg-u-hxy-u,glb,AERmon.od550bc,aerosol.od550bc.tavg-u-hxy-u.mon.glb,19bf8f18-81b1-11e6-92de-ac72891c3257,high,,
25,aerosol.od550dust.tavg-u-hxy-u.mon.glb,mon,aerosol,atmosphere_optical_thickness_due_to_dust_ambient_aerosol_particles,1,area: time: mean,area: areacella,Dust Optical Thickness at 550nm,Total aerosol AOD due to dust aerosol at a wavelength of 550 nanometres.,,longitude latitude time lambda550nm,od550dust,real,,XY-na,time-intv,AERmon,od550dust,od550dust,tavg-u-hxy-u,od550dust_tavg-u-hxy-u,glb,AERmon.od550dust,aerosol.od550dust.tavg-u-hxy-u.mon.glb,19bf97d8-81b1-11e6-92de-ac72891c3257,high,,
26,aerosol.od550lt1aer.tavg-u-hxy-u.mon.glb,mon,aerosol,atmosphere_optical_thickness_due_to_pm1_ambient_aerosol_particles,1,area: time: mean,area: areacella,Ambient Fine Aerosol Optical Depth at 550nm,"od550 due to particles with wet diameter less than 1 um  (""ambient"" means ""wetted""). When models do not include explicit size information, it can be assumed that all anthropogenic aerosols and natural secondary aerosols have diameter less than 1 um.",,longitude latitude time lambda550nm,od550lt1aer,real,,XY-na,time-intv,AERmon,od550lt1aer,od550lt1aer,tavg-u-hxy-u,od550lt1aer_tavg-u-hxy-u,glb,AERmon.od550lt1aer,aerosol.od550lt1aer.tavg-u-hxy-u.mon.glb,19be6656-81b1-11e6-92de-ac72891c3257,high,,
27,aerosol.od550no3.tavg-u-hxy-u.mon.glb,mon,aerosol,atmosphere_optical_thickness_due_to_nitrate_ambient_aerosol_particles,1,area: time: mean,area: areacella,Nitrate Aerosol Optical Depth at 550nm,Total aerosol AOD due to nitrate aerosol at a wavelength of 550 nanometres.,,longitude latitude time lambda550nm,od550no3,real,,XY-na,time-intv,AERmon,od550no3,od550no3,tavg-u-hxy-u,od550no3_tavg-u-hxy-u,glb,AERmon.od550no3,aerosol.od550no3.tavg-u-hxy-u.mon.glb,19bfd216-81b1-11e6-92de-ac72891c3257,high,,
28,aerosol.od550oa.tavg-u-hxy-u.mon.glb,mon,aerosol,atmosphere_optical_thickness_due_to_particulate_organic_matter_ambient_aerosol_particles,1,area: time: mean,area: areacella,Total Organic Aerosol Optical Depth at 550nm,"total organic aerosol AOD, comprises all organic aerosols, primary + secondary ; natural + anthropogenic including biomasss burning organic aerosol",,longitude latitude time lambda550nm,od550oa,real,,XY-na,time-intv,AERmon,od550oa,od550oa,tavg-u-hxy-u,od550oa_tavg-u-hxy-u,glb,AERmon.od550oa,aerosol.od550oa.tavg-u-hxy-u.mon.glb,19c03a6c-81b1-11e6-92de-ac72891c3257,high,,
29,aerosol.od550so4.tavg-u-hxy-u.mon.glb,mon,aerosol,atmosphere_optical_thickness_due_to_sulfate_ambient_aerosol_particles,1,area: time: mean,area: areacella,Sulfate Aerosol Optical Depth at 550nm,Total aerosol AOD due to sulfate aerosol at a wavelength of 550 nanometres.,,longitude latitude time lambda550nm,od550so4,real,,XY-na,time-intv,AERmon,od550so4,od550so4,tavg-u-hxy-u,od550so4_tavg-u-hxy-u,glb,AERmon.od550so4,aerosol.od550so4.tavg-u-hxy-u.mon.glb,19bf19ca-81b1-11e6-92de-ac72891c3257,high,,
30,aerosol.od550ss.tavg-u-hxy-u.mon.glb,mon,aerosol,atmosphere_optical_thickness_due_to_sea_salt_ambient_aerosol_particles,1,area: time: mean,area: areacella,Sea-Salt Aerosol Optical Depth at 550nm,Total aerosol AOD due to sea salt aerosol at a wavelength of 550 nanometres.,,longitude latitude time lambda550nm,od550ss,real,,XY-na,time-intv,AERmon,od550ss,od550ss,tavg-u-hxy-u,od550ss_tavg-u-hxy-u,glb,AERmon.od550ss,aerosol.od550ss.tavg-u-hxy-u.mon.glb,19bec380-81b1-11e6-92de-ac72891c3257,high,,
31,aerosol.oh.tavg-al-hxy-u.mon.glb,mon,aerosol,mole_fraction_of_hydroxyl_radical_in_air,mol mol-1,area: time: mean,area: areacella,OH Volume Mixing Ratio,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.",,longitude latitude alevel time,oh,real,,XY-A,time-intv,AERmon,oh,oh,tavg-al-hxy-u,oh_tavg-al-hxy-u,glb,AERmon.oh,aerosol.oh.tavg-al-hxy-u.mon.glb,19bf1e2a-81b1-11e6-92de-ac72891c3257,high,,
32,aerosol.so2.tavg-al-hxy-u.mon.glb,mon,aerosol,mole_fraction_of_sulfur_dioxide_in_air,mol mol-1,area: time: mean,area: areacella,SO2 Volume Mixing Ratio,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.",,longitude latitude alevel time,so2,real,,XY-A,time-intv,AERmon,so2,so2,tavg-al-hxy-u,so2_tavg-al-hxy-u,glb,AERmon.so2,aerosol.so2.tavg-al-hxy-u.mon.glb,19bfa78c-81b1-11e6-92de-ac72891c3257,high,,
33,aerosol.toz.tavg-u-hxy-u.mon.glb,mon,aerosol,equivalent_thickness_at_stp_of_atmosphere_ozone_content,m,area: time: mean,area: areacella,Total Column Ozone,total ozone column in DU,,longitude latitude time,toz,real,,XY-na,time-intv,AERmon,toz,toz,tavg-u-hxy-u,toz_tavg-u-hxy-u,glb,AERmon.toz,aerosol.toz.tavg-u-hxy-u.mon.glb,19bf12b8-81b1-11e6-92de-ac72891c3257,high,,
34,aerosol.wetdust.tavg-u-hxy-u.mon.glb,mon,aerosol,minus_tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_wet_deposition,kg m-2 s-1,area: time: mean,area: areacella,Wet Deposition Rate of Dust,Surface deposition rate of dust (dry mass) due to wet processes,,longitude latitude time,wetdust,real,,XY-na,time-intv,AERmon,wetdust,wetdust,tavg-u-hxy-u,wetdust_tavg-u-hxy-u,glb,AERmon.wetdust,aerosol.wetdust.tavg-u-hxy-u.mon.glb,19be7024-81b1-11e6-92de-ac72891c3257,high,,
