,name,frequency,modeling_realm,standard_name,units,cell_methods,cell_measures,long_name,comment,processing_note,dimensions,out_name,type,positive,spatial_shape,temporal_shape,cmip6_table,physical_parameter_name,variableRootDD,branding_label,branded_variable_name,region,cmip6_compound_name,cmip7_compound_name,uid,priority,flag_values,flag_meanings
1,aerosol.ccn.tavg-u-hxy-ccl.mon.glb,mon,aerosol,number_concentration_of_cloud_condensation_nuclei_at_stp_in_air,m-3,"area: time: mean where convective_cloud (mean over the portion of the cell containing liquid topped cloud, as seen from top of atmosphere)",area: areacella,Cloud Condensation Nuclei Concentration at Liquid Cloud Top,proposed name: number_concentration_of_ambient_aerosol_in_air_at_liquid_water_cloud_top,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean CMIP7:area: time: mean where convective_cloud (mean over the portion of the cell containing liquid topped cloud, as seen from top of atmosphere),",longitude latitude time,ccn,real,,XY-na,time-intv,AERmon,ccn,ccn,tavg-u-hxy-ccl,ccn_tavg-u-hxy-ccl,glb,AERmon.ccn,aerosol.ccn.tavg-u-hxy-ccl.mon.glb,19c04e94-81b1-11e6-92de-ac72891c3257,high,,
11,aerosol.lwp.tavg-u-hxy-u.mon.glb,mon,aerosol,atmosphere_mass_content_of_cloud_liquid_water,kg m-2,area: time: mean,area: areacella,Liquid Water Path,The total mass of liquid water in cloud per unit area.,,longitude latitude time,lwp,real,,XY-na,time-intv,AERmon,lwp,lwp,tavg-u-hxy-u,lwp_tavg-u-hxy-u,glb,AERmon.lwp,aerosol.lwp.tavg-u-hxy-u.mon.glb,19bf71ae-81b1-11e6-92de-ac72891c3257,high,,
12,aerosol.mmrpm2p5.tavg-al-hxy-u.mon.glb,mon,aerosol,mass_fraction_of_pm2p5_dry_aerosol_particles_in_air,kg kg-1,area: time: mean,area: areacella,PM2.5 Mass Mixing Ratio,Mass fraction atmospheric particulate compounds with an aerodynamic diameter of less than or equal to 2.5 micrometers,,longitude latitude alevel time,mmrpm2p5,real,,XY-A,time-intv,AERmon,mmrpm2p5,mmrpm2p5,tavg-al-hxy-u,mmrpm2p5_tavg-al-hxy-u,glb,AERmon.mmrpm2p5,aerosol.mmrpm2p5.tavg-al-hxy-u.mon.glb,19be7b78-81b1-11e6-92de-ac72891c3257,high,,
16,aerosol.od550soa.tavg-u-hxy-u.mon.glb,mon,aerosol,atmosphere_optical_thickness_due_to_secondary_particulate_organic_matter_ambient_aerosol_particles,1,area: time: mean,area: areacella,Particulate Organic Aerosol Optical Depth at 550nm,total organic aerosol AOD due to secondary aerosol formation,"CHANGE SINCE CMIP6 in CF Standard Name - CMIP6: atmosphere_optical_thickness_due_to_particulate_organic_matter_ambient_aerosol_particles, CMIP7: atmosphere_optical_thickness_due_to_secondary_particulate_organic_matter_ambient_aerosol_particles,",longitude latitude time lambda550nm,od550soa,real,,XY-na,time-intv,AERmon,od550soa,od550soa,tavg-u-hxy-u,od550soa_tavg-u-hxy-u,glb,AERmon.od550soa,aerosol.od550soa.tavg-u-hxy-u.mon.glb,0facb764-817d-11e6-b80b-5404a60d96b5,high,,
