,name,frequency,modeling_realm,standard_name,units,cell_methods,cell_measures,long_name,comment,processing_note,dimensions,out_name,type,positive,spatial_shape,temporal_shape,cmip6_table,physical_parameter_name,variableRootDD,branding_label,branded_variable_name,region,cmip6_compound_name,cmip7_compound_name,uid,priority,flag_values,flag_meanings
332,land.fVegSoilMortality.tavg-u-hxy-lnd.mon.glb,mon,land,mass_flux_of_carbon_into_soil_from_vegetation_due_to_mortality,kg m-2 s-1,area: mean where land time: mean,area: areacella,Total Carbon Mass Flux from Vegetation to Soil as a Result of Mortality,needed to separate changing vegetation C turnover times resulting from changing allocation versus changing mortality,,longitude latitude time,fVegSoilMortality,real,,XY-na,time-intv,Emon,fVegSoilMortality,fVegSoilMortality,tavg-u-hxy-lnd,fVegSoilMortality_tavg-u-hxy-lnd,glb,Emon.fVegSoilMortality,land.fVegSoilMortality.tavg-u-hxy-lnd.mon.glb,e7073696-aa7f-11e6-9a4a-5404a60d96b5,medium,,
333,land.fVegSoilSenescence.tavg-u-hxy-lnd.mon.glb,mon,land,mass_flux_of_carbon_into_soil_from_vegetation_due_to_senescence,kg m-2 s-1,area: mean where land time: mean,area: areacella,"Total Carbon Mass Flux from Vegetation to Soil as a Result of Leaf, Branch, and Root Senescence",needed to separate changing vegetation C turnover times resulting from changing allocation versus changing mortality,,longitude latitude time,fVegSoilSenescence,real,,XY-na,time-intv,Emon,fVegSoilSenescence,fVegSoilSenescence,tavg-u-hxy-lnd,fVegSoilSenescence_tavg-u-hxy-lnd,glb,Emon.fVegSoilSenescence,land.fVegSoilSenescence.tavg-u-hxy-lnd.mon.glb,e70731dc-aa7f-11e6-9a4a-5404a60d96b5,medium,,
334,land.gpp.tavg-u-hxy-lnd.mon.glb,mon,land,gross_primary_productivity_of_biomass_expressed_as_carbon,kg m-2 s-1,area: mean where land time: mean,area: areacella,Carbon Mass Flux out of Atmosphere Due to Gross Primary Production on Land [kgC m-2 s-1],"The rate of synthesis of biomass from inorganic precursors by autotrophs (""producers"") expressed as the mass of carbon which it contains. For example, photosynthesis in plants or phytoplankton. The producers also respire some of this biomass and the difference is referred to as the net primary production.",,longitude latitude time,gpp,real,,XY-na,time-intv,Lmon,gpp,gpp,tavg-u-hxy-lnd,gpp_tavg-u-hxy-lnd,glb,Lmon.gpp,land.gpp.tavg-u-hxy-lnd.mon.glb,baae7800-e5dd-11e5-8482-ac72891c3257,high,,
335,land.gpp.tavg-u-hxy-ng.mon.glb,mon,land,gross_primary_productivity_of_biomass_expressed_as_carbon,kg m-2 s-1,area: time: mean where natural_grasses (mask=grassFrac),area: areacella,Gross Primary Production on Grass Tiles as Carbon Mass Flux [kgC m-2 s-1],Total GPP of grass in the grid cell,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean where natural_grasses (comment: mask=grassFrac) CMIP7:area: time: mean where natural_grasses (mask=grassFrac),",longitude latitude time,gpp,real,,XY-na,time-intv,Emon,gppGrass,gpp,tavg-u-hxy-ng,gpp_tavg-u-hxy-ng,glb,Emon.gppGrass,land.gpp.tavg-u-hxy-ng.mon.glb,e7076878-aa7f-11e6-9a4a-5404a60d96b5,medium,,
336,land.gpp.tavg-u-hxy-shb.mon.glb,mon,land,gross_primary_productivity_of_biomass_expressed_as_carbon,kg m-2 s-1,area: time: mean where shrubs (mask=shrubFrac),area: areacella,Gross Primary Production on Shrub Tiles as Carbon Mass Flux [kgC m-2 s-1],Total GPP of shrubs in the grid cell,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean where shrubs (comment: mask=shrubFrac) CMIP7:area: time: mean where shrubs (mask=shrubFrac),",longitude latitude time,gpp,real,,XY-na,time-intv,Emon,gppShrub,gpp,tavg-u-hxy-shb,gpp_tavg-u-hxy-shb,glb,Emon.gppShrub,land.gpp.tavg-u-hxy-shb.mon.glb,e707633c-aa7f-11e6-9a4a-5404a60d96b5,medium,,
337,land.gpp.tavg-u-hxy-tree.mon.glb,mon,land,gross_primary_productivity_of_biomass_expressed_as_carbon,kg m-2 s-1,area: time: mean where trees (mask=treeFrac),area: areacella,Gross Primary Production on Tree Tiles as Carbon Mass Flux [kgC m-2 s-1],Total GPP of trees in the grid cell,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean where trees (comment: mask=treeFrac) CMIP7:area: time: mean where trees (mask=treeFrac),",longitude latitude time,gpp,real,,XY-na,time-intv,Emon,gppTree,gpp,tavg-u-hxy-tree,gpp_tavg-u-hxy-tree,glb,Emon.gppTree,land.gpp.tavg-u-hxy-tree.mon.glb,e7075e32-aa7f-11e6-9a4a-5404a60d96b5,medium,,
338,land.grassFrac.tavg-u-hxy-u.mon.glb,mon,land,area_fraction,%,area: time: mean,area: areacella,Natural Grass Area Percentage,Percentage of entire grid cell that is covered by natural grass.,"add scalar coordinate typegrass and add ""natural_grass"" to the CF area type table.  Note that if this variable is independent of time, it should be stored only for a single time (user choice). CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land over all_area_types time: mean CMIP7:area: time: mean,",longitude latitude time typenatgr,grassFrac,real,,XY-na,time-intv,Lmon,grassFrac,grassFrac,tavg-u-hxy-u,grassFrac_tavg-u-hxy-u,glb,Lmon.grassFrac,land.grassFrac.tavg-u-hxy-u.mon.glb,baae910a-e5dd-11e5-8482-ac72891c3257,high,,
339,land.lai.tavg-u-hxy-lnd.mon.glb,mon,land,leaf_area_index,1,area: mean where land time: mean,area: areacella,Leaf Area Index,A ratio obtained by dividing the total upper leaf surface area of vegetation by the (horizontal) surface area of the land on which it grows.,"Note that if this variable is independent of time, it should be stored only for a single time (user choice).",longitude latitude time,lai,real,,XY-na,time-intv,Lmon,lai,lai,tavg-u-hxy-lnd,lai_tavg-u-hxy-lnd,glb,Lmon.lai,land.lai.tavg-u-hxy-lnd.mon.glb,bab0919e-e5dd-11e5-8482-ac72891c3257,core,,
340,land.landCoverFrac.tavg-u-hxy-u.mon.glb,mon,land,area_fraction,%,area: time: mean,area: areacella,Percentage of Area by Vegetation or Land-Cover Category,"The categories may differ from model to model, depending on their  PFT definitions.   This may include natural PFTs, anthropogenic PFTs, bare soil, lakes, urban areas, etc.   Sum of all should equal the fraction of the grid-cell that is land.","need to explain how to define vegtype.  To facilitate model comparison, it is also requested that the aggregated land cover types called for in lines 28 to 35 be archived (but not in this variable).  Note that if this variable is independent of time, it should be stored only for a single time (user choice).   Note that the ""types"" will be model dependent and for each type there should be a full description of the PFT (plant functional type).  CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land over all_area_types time: mean CMIP7:area: time: mean,",longitude latitude vegtype time,landCoverFrac,real,,XY-na,time-intv,Lmon,landCoverFrac,landCoverFrac,tavg-u-hxy-u,landCoverFrac_tavg-u-hxy-u,glb,Lmon.landCoverFrac,land.landCoverFrac.tavg-u-hxy-u.mon.glb,bab09a7c-e5dd-11e5-8482-ac72891c3257,high,,
341,land.mrro.tavg-u-hxy-lnd.day.glb,day,land,runoff_flux,kg m-2 s-1,area: mean where land time: mean,area: areacella,Total Runoff,"computed as the total runoff (including ""drainage"" through the base of the soil model) leaving the land portion of the grid cell divided by the land area in the grid cell.",,longitude latitude time,mrro,real,,XY-na,time-intv,day,mrro,mrro,tavg-u-hxy-lnd,mrro_tavg-u-hxy-lnd,glb,day.mrro,land.mrro.tavg-u-hxy-lnd.day.glb,bab17cb2-e5dd-11e5-8482-ac72891c3257,high,,
