,name,frequency,modeling_realm,standard_name,units,cell_methods,cell_measures,long_name,comment,processing_note,dimensions,out_name,type,positive,spatial_shape,temporal_shape,cmip6_table,physical_parameter_name,variableRootDD,branding_label,branded_variable_name,region,cmip6_compound_name,cmip7_compound_name,uid,priority,flag_values,flag_meanings
249,ocean.sfdsi.tavg-u-hxy-sea.mon.glb,mon,ocean seaIce,downward_sea_ice_basal_salt_flux,kg m-2 s-1,area: mean where sea time: mean,area: areacello,Downward Sea Ice Basal Salt Flux,"This field is physical, and it arises since sea ice has a nonzero salt content, so it exchanges salt with the liquid ocean upon melting and freezing.",Report on native horizontal grid as well as mapped onto sphere.,longitude latitude time,sfdsi,real,down,XY-na,time-intv,Omon,sfdsi,sfdsi,tavg-u-hxy-sea,sfdsi_tavg-u-hxy-sea,glb,Omon.sfdsi,ocean.sfdsi.tavg-u-hxy-sea.mon.glb,baa662fa-e5dd-11e5-8482-ac72891c3257,medium,,
256,ocean.siflfwbot.tavg-u-hxy-sea.mon.glb,mon,ocean seaIce,water_flux_into_sea_water_due_to_sea_ice_thermodynamics,kg m-2 s-1,area: mean where sea time: mean,area: areacello,Water Flux into Sea Water Due to Sea Ice Thermodynamics,computed as the sea ice thermodynamic water flux into the ocean divided by the area of the ocean portion of the grid cell.,OMDP has this as priority=2. The sea-ice folks requested that the priority be raised to 1. Report on native horizontal grid as well as mapped onto sphere.,longitude latitude time,siflfwbot,real,,XY-na,time-intv,Omon,fsitherm,siflfwbot,tavg-u-hxy-sea,siflfwbot_tavg-u-hxy-sea,glb,Omon.fsitherm,ocean.siflfwbot.tavg-u-hxy-sea.mon.glb,baa63136-e5dd-11e5-8482-ac72891c3257,medium,,
309,ocean.vsfsit.tavg-u-hxy-sea.mon.glb,mon,ocean seaIce,virtual_salt_flux_into_sea_water_due_to_sea_ice_thermodynamics,kg m-2 s-1,area: mean where sea time: mean,area: areacello,Virtual Salt Flux into Sea Water Due to Sea Ice Thermodynamics,This variable measures the virtual salt flux into sea water due to the melting of sea ice. It is set to zero in models which receive a real water flux.,The priority set by the WGOMD was 2 for this field.  The sea-ice folks requested that the priority be raised to 1. Report on native horizontal grid.,longitude latitude time,vsfsit,real,,XY-na,time-intv,Omon,vsfsit,vsfsit,tavg-u-hxy-sea,vsfsit_tavg-u-hxy-sea,glb,Omon.vsfsit,ocean.vsfsit.tavg-u-hxy-sea.mon.glb,baa65648-e5dd-11e5-8482-ac72891c3257,medium,,
