,name,frequency,modeling_realm,standard_name,units,cell_methods,cell_measures,long_name,comment,processing_note,dimensions,out_name,type,positive,spatial_shape,temporal_shape,cmip6_table,physical_parameter_name,variableRootDD,branding_label,branded_variable_name,region,cmip6_compound_name,cmip7_compound_name,uid,priority,flag_values,flag_meanings
339,seaIce.siconca.tavg-u-hxy-u.day.glb,day,seaIce,sea_ice_area_fraction,%,area: time: mean,area: areacella,Sea-Ice Area Percentage (Atmospheric Grid),"Percentage of a given grid cell that is covered by sea ice on the atmosphere grid, independent of the thickness of that ice.","CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude time typesi CMIP7:longitude latitude time,",longitude latitude time,siconca,real,,XY-na,time-intv,SIday,siconca,siconca,tavg-u-hxy-u,siconca_tavg-u-hxy-u,glb,SIday.siconca,seaIce.siconca.tavg-u-hxy-u.day.glb,d243b4a4-4a9f-11e6-b84e-ac72891c3257,high,,
340,seaIce.siconca.tavg-u-hxy-u.mon.glb,mon,seaIce,sea_ice_area_fraction,%,area: time: mean,area: areacella,Sea-Ice Area Percentage (Atmospheric Grid),"Percentage of a given grid cell that is covered by sea ice on the atmosphere grid, independent of the thickness of that ice.","CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude time typesi CMIP7:longitude latitude time,",longitude latitude time,siconca,real,,XY-na,time-intv,SImon,siconca,siconca,tavg-u-hxy-u,siconca_tavg-u-hxy-u,glb,SImon.siconca,seaIce.siconca.tavg-u-hxy-u.mon.glb,71190054-faa7-11e6-bfb7-ac72891c3257,high,,
341,seaIce.sidconcdyn.tavg-u-hxy-sea.mon.glb,mon,seaIce,tendency_of_sea_ice_area_fraction_due_to_dynamics,s-1,area: mean where sea time: mean,area: areacello,Sea-Ice Area Fraction Tendency Due to Dynamics,"Total rate of change in sea-ice area fraction through dynamics-related processes (advection, divergence, etc.).",,longitude latitude time,sidconcdyn,real,,XY-na,time-intv,SImon,sidconcdyn,sidconcdyn,tavg-u-hxy-sea,sidconcdyn_tavg-u-hxy-sea,glb,SImon.sidconcdyn,seaIce.sidconcdyn.tavg-u-hxy-sea.mon.glb,714c1d90-faa7-11e6-bfb7-ac72891c3257,high,,
342,seaIce.sidconcth.tavg-u-hxy-sea.mon.glb,mon,seaIce,tendency_of_sea_ice_area_fraction_due_to_thermodynamics,s-1,area: mean where sea time: mean,area: areacello,Sea-Ice Area Fraction Tendency Due to Thermodynamics,Total rate of change in sea-ice area fraction through thermodynamic processes.,,longitude latitude time,sidconcth,real,,XY-na,time-intv,SImon,sidconcth,sidconcth,tavg-u-hxy-sea,sidconcth_tavg-u-hxy-sea,glb,SImon.sidconcth,seaIce.sidconcth.tavg-u-hxy-sea.mon.glb,711e985c-faa7-11e6-bfb7-ac72891c3257,high,,
343,seaIce.sidivvel.tpt-u-hxy-si.mon.glb,mon,seaIce,divergence_of_sea_ice_velocity,s-1,area: mean where sea_ice (mask=siconc) time: point,area: areacello,Divergence of the Sea-Ice Velocity Field,"Divergence of sea-ice velocity field (first shear strain invariant). Requested as instantaneous value at the center of the month (i.e., first timestep of the 15th day of the month).","CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where sea_ice (comment: mask=siconc) time: point CMIP7:area: mean where sea_ice (mask=siconc) time: point,",longitude latitude time1,sidivvel,real,,XY-na,time-point,SImon,sidivvel,sidivvel,tpt-u-hxy-si,sidivvel_tpt-u-hxy-si,glb,SImon.sidivvel,seaIce.sidivvel.tpt-u-hxy-si.mon.glb,71436966-faa7-11e6-bfb7-ac72891c3257,medium,,
344,seaIce.sidmassdyn.tavg-u-hxy-si.mon.glb,mon,seaIce,tendency_of_sea_ice_amount_due_to_sea_ice_dynamics,kg m-2 s-1,area: time: mean where sea_ice over all_area_types,area: areacello,Sea-Ice Mass Change from Dynamics,"Total rate of change in sea-ice mass through dynamics-related processes (advection, divergence, etc.) divided by grid-cell area.","CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where sea time: mean CMIP7:area: mean where sea_ice over all___area_types time: mean	,
CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where sea time: mean CMIP7:area: time: mean where sea_ice over all_area_types,",longitude latitude time,sidmassdyn,real,,XY-na,time-intv,SImon,sidmassdyn,sidmassdyn,tavg-u-hxy-si,sidmassdyn_tavg-u-hxy-si,glb,SImon.sidmassdyn,seaIce.sidmassdyn.tavg-u-hxy-si.mon.glb,711e3862-faa7-11e6-bfb7-ac72891c3257,high,,
345,seaIce.sidmassgrowthbot.tavg-u-hxy-si.mon.glb,mon,seaIce,tendency_of_sea_ice_amount_due_to_congelation_ice_accumulation,kg m-2 s-1,area: time: mean where sea_ice over all_area_types,area: areacello,Sea-Ice Mass Change Through Basal Growth,Rate of change of sea-ice mass due to vertical growth of existing sea ice at its base divided by grid-cell area. Note that this number is always positive or zero since sea-ice melt is collected in sidmassmeltbot. This is to account for differential growth and melt in models with a sub-grid scale ice thickness distribution.,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where sea time: mean CMIP7:area: mean where sea_ice over all___area_types time: mean	,
CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where sea time: mean CMIP7:area: time: mean where sea_ice over all_area_types,",longitude latitude time,sidmassgrowthbot,real,,XY-na,time-intv,SImon,sidmassgrowthbot,sidmassgrowthbot,tavg-u-hxy-si,sidmassgrowthbot_tavg-u-hxy-si,glb,SImon.sidmassgrowthbot,seaIce.sidmassgrowthbot.tavg-u-hxy-si.mon.glb,71190c48-faa7-11e6-bfb7-ac72891c3257,high,,
346,seaIce.sidmassgrowthsi.tavg-u-hxy-si.mon.glb,mon,seaIce,tendency_of_sea_ice_amount_due_to_conversion_of_snow_to_sea_ice,kg m-2 s-1,area: time: mean where sea_ice over all_area_types,area: areacello,Sea-Ice Mass Change Through Snow-to-Ice Conversion,Rate of change of sea-ice mass due to transformation of snow to sea ice divided by grid-cell area. Always positive or zero.,"CHANGE SINCE CMIP6: compound name,",longitude latitude time,sidmassgrowthsi,real,,XY-na,time-intv,SImon,sidmassgrowthsi,sidmassgrowthsi,tavg-u-hxy-si,sidmassgrowthsi_tavg-u-hxy-si,glb,SImon.sidmassgrowthsi,seaIce.sidmassgrowthsi.tavg-u-hxy-si.mon.glb,714ef880-faa7-11e6-bfb7-ac72891c3257,high,,
347,seaIce.sidmassgrowthwat.tavg-u-hxy-si.mon.glb,mon,seaIce,tendency_of_sea_ice_amount_due_to_frazil_ice_accumulation_in_leads,kg m-2 s-1,area: time: mean where sea_ice over all_area_types,area: areacello,Sea-Ice Mass Change Through Growth in Supercooled Open Water (Frazil),Rate of change of sea-ice mass due to sea ice formation in supercooled water (often through frazil formation) divided by grid-cell area. Always positive or zero.,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where sea time: mean CMIP7:area: mean where sea_ice over all___area_types time: mean	,
CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where sea time: mean CMIP7:area: time: mean where sea_ice over all_area_types,",longitude latitude time,sidmassgrowthwat,real,,XY-na,time-intv,SImon,sidmassgrowthwat,sidmassgrowthwat,tavg-u-hxy-si,sidmassgrowthwat_tavg-u-hxy-si,glb,SImon.sidmassgrowthwat,seaIce.sidmassgrowthwat.tavg-u-hxy-si.mon.glb,71310690-faa7-11e6-bfb7-ac72891c3257,high,,
348,seaIce.sidmassmeltbot.tavg-u-hxy-si.mon.glb,mon,seaIce,tendency_of_sea_ice_amount_due_to_basal_melting,kg m-2 s-1,area: time: mean where sea_ice over all_area_types,area: areacello,Sea-Ice Mass Change Through Bottom Melting,Rate of change of sea-ice mass through melting/dissolution at the ice bottom divided by grid-cell area. Note that this number is always zero or negative since sea-ice growth is collected in sidmassgrowthbot. This is to account for differential growth and melt in models with a sub-grid scale ice thickness distribution.,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where sea time: mean CMIP7:area: mean where sea_ice over all___area_types time: mean	,
CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where sea time: mean CMIP7:area: time: mean where sea_ice over all_area_types,",longitude latitude time,sidmassmeltbot,real,,XY-na,time-intv,SImon,sidmassmeltbot,sidmassmeltbot,tavg-u-hxy-si,sidmassmeltbot_tavg-u-hxy-si,glb,SImon.sidmassmeltbot,seaIce.sidmassmeltbot.tavg-u-hxy-si.mon.glb,7129c466-faa7-11e6-bfb7-ac72891c3257,high,,
